,path,height,width,aspect_ratio,r,g,b,h,s,v,error
15460,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f1367225-565f-4eb2-8b79-1d23bdb1a40e.png,6000,4000,1.5,134.81391145833334,114.26241275,88.67745670833334,69.00703229166666,87.70302604166666,135.35670216666668,
15461,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f136b48e-82b0-4da3-b49b-59e9e0327724.png,2000,3008,0.6648936170212766,217.07894315159575,202.78153523936172,187.34752509973404,21.457036070478722,42.185563331117024,217.08287184175532,
15462,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f14512c5-e68f-4f7d-8727-35dfbf20a98d.png,2990,2891,1.0342442061570392,108.87080722204419,88.7790543596839,53.540598489835254,26.22212286082167,143.53984502706473,108.87501726613212,
15463,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f14519a8-b12c-4a40-9af8-e44600decd2f.png,2990,2092,1.4292543021032504,167.78667099381622,133.8125699431502,92.89609469423253,22.590339532028366,122.53694485122493,167.7923407854096,
15464,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f146e269-7f5e-498e-9c78-0700c0cd0e9d.png,2456,2990,0.8214046822742475,96.74021548484089,74.3159686740819,43.06795303018749,26.623534882834203,146.9420985260314,96.7710615188522,
15465,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f14ecd75-fdfc-4dbf-888a-9201aab961a0.png,1999,2990,0.668561872909699,114.53471033175451,63.87528965151472,22.078168515695975,17.826529987401727,216.3943707639773,114.53477089715426,
15466,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f14f9672-082e-453f-b7a8-3673f01e08c6.png,2990,2447,1.2219043727012668,149.63685749938838,97.19197611436022,53.33468884840218,19.498979434240002,172.78116784869331,149.6412006784637,
15467,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f1517bd6-c93a-4b65-8c26-2682a1154aab.png,2990,2689,1.1119375232428412,135.39465330698212,97.85661589207113,62.536513057657174,19.95012655299492,147.17596276667857,135.40065409552855,
15468,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f15918c4-7e0a-4dd1-9af3-df4ea967722f.png,1744,1852,0.9416846652267818,157.30533318802387,143.13018284225336,134.43745201071988,33.44775112945093,44.95672295757624,157.97607935631206,
15469,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f15e8192-1cd2-46a5-bf86-58266eee646a.png,2557,2000,1.2785,171.06387700430193,110.41063570590536,57.68664822057098,19.473845717637857,176.7466898709425,171.0664219788815,
15470,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f164403e-599a-4ec0-8b0f-228e9018da9f.png,2416,2000,1.208,131.5671123758278,122.17859954470198,100.2018042218543,38.190542839403975,83.21211258278146,132.72993274006623,
