,Species,count,normalized_cumsum
386,Ascarina rubricaulis,5,0.09818154034229828
387,Coula edulis,5,0.09837255501222494
388,Lonchocarpus phaseolifolius,5,0.09856356968215159
389,Alphonsea arborea,5,0.09875458435207823
390,Idiospermum australiense,5,0.0989455990220049
391,Rhododendron albiflorum,5,0.09913661369193154
392,Matudaea hirsuta,5,0.0993276283618582
393,Quercus prinus,5,0.09951864303178484
394,Cardiopetalum calophyllum,5,0.09970965770171149
395,Atalaya hemiglauca,5,0.09990067237163815
396,Spiraea beauverdiana,5,0.10009168704156479
397,Salix bebbiana,5,0.10028270171149144
398,Arbutus menziesii,5,0.1004737163814181
399,Hypelate trifoliata,5,0.10066473105134474
400,Quercus michauxii,5,0.1008557457212714
401,Matayba camptoneura,5,0.10104676039119805
402,Asimina triloba,5,0.10123777506112469
403,Stemonurus malaccensis,5,0.10142878973105135
404,Arctostaphylos andersonii,5,0.101619804400978
405,Asimina obovata,5,0.10181081907090464
406,Senna guatemalensis,5,0.1020018337408313
407,Molinadendron sinaloense,5,0.10219284841075794
408,Duguetia furfuracea,5,0.1023838630806846
409,Athyana weinmannifolia,5,0.10257487775061125
410,Inga punctata,5,0.1027658924205379
411,Allophylus edulis,4,0.10291870415647922
412,Lepidopetalum xylocarpum,4,0.10307151589242054
413,Orthaea secundiflora,4,0.10322432762836185
414,Rawsonia lucida,4,0.10337713936430318
415,Pseuduvaria reticulata,4,0.1035299511002445
416,Lepidotrichilia volkensii,4,0.10368276283618581
417,Lepisanthes erecta,4,0.10383557457212714
418,Schisandra chinensis,4,0.10398838630806846
419,Anaxagorea panamensis,4,0.10414119804400979
420,Spiraea densiflora,4,0.1042940097799511
421,Schoepfia californica,4,0.10444682151589242
422,Randia thurberi,4,0.10459963325183375
423,Fragaria vesca,4,0.10475244498777506
424,Fuchsia eucliandra,4,0.10490525672371638
425,Enkianthus quinqueflorus,4,0.1050580684596577
426,Uvaria borneensis,4,0.10521088019559902
427,Spiraea douglasii,4,0.10536369193154034
428,Anacardium occidentale,4,0.10551650366748166
429,Entandrophragma angolense,4,0.10566931540342299
430,Fissistigma oldhamii,4,0.1058221271393643
431,Amylotheca insularum,4,0.10597493887530562
432,Schima superba,4,0.10612775061124695
433,Allophylus occidentalis,4,0.10628056234718826
434,Froesia tricarpa,4,0.10643337408312958
435,Schisandra glabra,4,0.10658618581907091
436,Pterocarya macroptera,4,0.10673899755501222
437,Ledum decumbens,4,0.10689180929095354
438,Anaxagorea acuminata,4,0.10704462102689487
439,Allophylus crassinervis,4,0.10719743276283619
440,Lawsonia inermis,4,0.1073502444987775
441,Swietenia mahogani,4,0.10750305623471883
442,Fortunearia sinensis,4,0.10765586797066015
443,Acanthus ebracteatus,4,0.10780867970660146
444,Spiraea lucida,4,0.10796149144254279
445,Oubanguia laurentii,4,0.10811430317848411
446,Pachycormus discolor,4,0.10826711491442542
447,Canavalia villosa,4,0.10841992665036675
448,Caloncoba glauca,4,0.10857273838630807
449,Acalypha pringlei,4,0.1087255501222494
450,Ostrya knowltonii,4,0.1088783618581907
451,Salix purpurea,4,0.10903117359413203
452,Alnus sinuata,4,0.10918398533007335
453,Alnus trabeculosa,4,0.10933679706601467
454,Vaccinium membranaceum,4,0.10948960880195599
455,Euphoria longana,4,0.10964242053789731
456,Euphoria gardneri,4,0.10979523227383862
457,Alnus viridis,4,0.10994804400977995
458,Euonymus occidentalis,4,0.11010085574572127
459,Quercus shumardii,4,0.1102536674816626
460,Xylopia dehiscens,4,0.11040647921760391
461,Alzatea verticillata,4,0.11055929095354523
462,Stocksia brahuica,4,0.11071210268948656
463,Otoba parvifolia,4,0.11086491442542787
464,Schleichera trijuga,4,0.11101772616136919
465,Stillingia acutifolia,4,0.11117053789731052
466,Quercus reticulata,4,0.11132334963325183
467,Quercus douglasii,4,0.11147616136919315
468,Salix reticulata,4,0.11162897310513448
469,Erythrospermum polyandrum,4,0.1117817848410758
470,Quercus dumosa,4,0.11193459657701711
471,Quercus pungens,4,0.11208740831295844
472,Quercus pontica,4,0.11224022004889976
